Pompei_VI.5_CE_1979,Morel_2787,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_1996,patère,patera,Morel_2252e,Morel_2252,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_200,Lamboglia_27,,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_201,Morel_2787h,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_202,Lamboglia_27,,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_206,Lamboglia_27,,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_2060,coppa,vaso_modanato,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_2061,coppa,vaso_modanato,Morel_2554,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,
Pompei_VI.5_CE_207,Lamboglia_27,,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_209,Morel_2551,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_213,Morel_2973a,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_214,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,,
Pompei_VI.5_CE_215,Morel_1314b1,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_216,Morel_2742a1,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_2164,Morel_4363,skyphos,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_2165,Morel_4363,skyphos,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_2167,Morel_2825a,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_2168,Morel_1514,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_2169,Morel_7111,bombylios,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_217,Morel_2725,Lamboglia_24,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_2170,Morel_1315d,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_2171,patère,patera,Morel_2252e,Morel_2252,Morel_2200,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_2172,Morel_2751g,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_2173,Morel_5211b1,boccale_monoansato,boccale,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_2177,calamaio,,,,,,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_2178,Morel_2787a,coppa,Pompei_VI.5_CE_1323.4,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,
Pompei_VI.5_CE_2179,Morel_2978a,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_218,Morel_2973c,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_2180,Morel_2977,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_2182,Morel_1315d,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_2184,Morel_1312b,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_2185,Morel_2152,vaso_apodo,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,
Pompei_VI.5_CE_2186,Morel_2152,vaso_apodo,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,
Pompei_VI.5_CE_2187,Morel_2152,vaso_apodo,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,
Pompei_VI.5_CE_2189,Morel_2788,Morel_2788e1,Lamboglia_24,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,
Pompei_VI.5_CE_219,Morel_2973c,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_2191,Morel_2825a,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_2192,coppa,vaso_modanato,Morel_2572,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,
Pompei_VI.5_CE_2193,Morel_3131a,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_2194,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,,
Pompei_VI.5_CE_2196,Sparkes-Talcott_398,kylix_su_alto_piede,kylix,open,stemmed_cup,forma_aperta,,,,,,,,,,,,,,,,
Pompei_VI.5_CE_2198,coppa,vaso_modanato,Morel_2572,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,
Pompei_VI.5_CE_220,Morel_2812b,coppa,cup,bowl,schale,coupe,open,forma_aperta,,,,,,,,,,,,,,
Pompei_VI.5_CE_2200,Morel_8151,guttus,,,,,,,,,,,,,,,,,,,,
