,"k-cos,f","k-jac,f","k-cos,w","k-jac,w"
Sib_1970_p40_cat76,12,15,26,25
Sib_1970_p40_cat77,17,14,26,25
Sib_1970_p40_cat78,8,9,26,25
Sib_1970_p40_cat79,10,16,26,25
Sib_1970_p40_cat80,10,16,26,25
Sib_1970_p40_cat81,17,14,26,25
Sib_1970_p40_cat82,8,9,26,25
Sib_1970_p40_cat83,8,9,26,25
Sib_1970_p40_cat84,8,9,26,25
Sib_1970_p41_cat85,8,9,26,25
Sib_1970_p41_cat86,8,9,26,25
Sib_1970_p41_cat87,8,9,26,25
Sib_1970_p41_cat88,8,9,26,25
Sib_1970_p41_cat89,8,9,26,25
Sib_1970_p41_cat90,8,9,26,25
Sib_1970_p41_cat91,8,9,26,25
Sib_1970_p41_cat92,8,9,26,25
Sib_1970_p41_cat93,8,9,26,25
Sib_1970_p41_cat94,8,9,26,25
Sib_1970_p41_cat95,8,9,26,25
Sib_1970_p42_cat96,8,9,26,25
Sib_1970_p42_cat97,8,9,26,25
Sib_1970_p42_cat98,8,9,26,25
Sib_1970_p43_cat100,8,9,26,25
Sib_1970_p43_cat99,8,9,26,25
Sib_1970_p44_cat101,8,9,26,25
Sib_1970_p44_cat102,8,9,26,25
Sib_1970_p44_cat103,17,14,26,25
Sib_1970_p44_cat104,17,14,26,25
Sib_1970_p44_cat106,17,14,26,25
Sib_1970_p44_cat107,18,1,26,25
Sib_1970_p44_cat109,17,14,26,25
Sib_1970_p44_cat110,18,1,26,25
Sib_1970_p44_cat111,17,14,26,25
Sib_1970_p45_cat112,20,17,26,25
Sib_1970_p45_cat113,17,14,26,25
Sib_1970_p45_cat114,23,20,26,25
Sib_1970_p45_cat115,19,3,26,25
Sib_1970_p45_cat116,20,17,26,25
Sib_1970_p45_cat117,20,17,26,25
Sib_1970_p46_cat118,20,17,26,25
Sib_1970_p46_cat119,19,2,26,25
Sib_1970_p46_cat120,24,22,26,25
Sib_1970_p46_cat121,23,20,26,25
Sib_1970_p46_cat122,23,20,26,25
Sib_1970_p47_cat123,24,22,26,25
Sib_1970_p47_cat124,3,6,26,25
Vegas_1973_Type_1.1,2,5,12,4
Vegas_1973_Type_1.15,2,5,12,4
Vegas_1973_Type_1.4,2,5,12,4
Vegas_1973_Type_13.2,20,17,12,4
Vegas_1973_Type_14,17,14,12,4
Vegas_1973_Type_15.1,20,17,11,10
Vegas_1973_Type_15.2,20,17,11,10
Vegas_1973_Type_15.3,20,17,11,10
Vegas_1973_Type_15.7,20,17,11,10
Vegas_1973_Type_16.3,20,17,12,4
Vegas_1973_Type_2.2,2,5,12,4
Vegas_1973_Type_23,13,14,14,8
Vegas_1973_Type_24,13,14,14,8
Vegas_1973_Type_29,13,14,24,12
Vegas_1973_Type_38.11,17,14,14,8
Vegas_1973_Type_39.4,17,14,14,8
Vegas_1973_Type_4.3,18,1,12,4
Vegas_1973_Type_4.5,18,1,12,4
Vegas_1973_Type_46,6,8,14,8
Vegas_1973_Type_46.2,17,14,14,8
Vegas_1973_Type_48.8,2,5,14,8
Vegas_1973_Type_58,6,8,17,7
Vegas_1973_Type_63.3,17,14,17,7
Vegas_1974_Type_43.1,6,8,14,8
